Nummer,BetrieblicheBezeichnung,Gueltigkeit_BeginnGueltigkeit,E,N,H
ch:1:sloid:92992:0:439545,pont02,20230913,46.172972724400665,6.123317631106783,0
ch:1:sloid:3592:0:233302,2,20230426,47.538132581891325,8.221716923022884,0
ch:1:sloid:78295:1:1,1,20200703,47.43228249991377,7.847691698616956,0
ch:1:sloid:87872:1:4,11,20000127,46.74754557651884,7.635428389587273,0
ch:1:sloid:81743:0:770502,2,20230427,46.5179770306164,8.672831218650822,0
ch:1:sloid:6677:0:430713,2,20230426,47.458877732888006,9.047866669055557,0
ch:1:sloid:94240:0:17409,2,20220101,46.58821358650479,7.08506470921946,0
ch:1:sloid:77977:0:1,1,20220930,47.21060114340131,7.369196157402026,0
ch:1:sloid:2030:2:2,2,20230822,47.34592593069325,8.158630233251147,0
ch:1:sloid:87074:0:351754,lavi00,20230913,46.15602387362253,6.0365959824908515,0
ch:1:sloid:78625:0:03,3,20221211,47.4527617764413,8.937778944887498,0
ch:1:sloid:8675:0:343374,2,20230426,47.02449120512913,8.167773731117455,0
ch:1:sloid:5879:0:554394,2,20230426,46.30057285119207,9.114902133037926,0
ch:1:sloid:5921:0:9729,2,20230426,45.890296275483315,8.972303978957795,0
ch:1:sloid:8755:0:478524,1,20231122,46.95631874211976,8.515506693316835,0
ch:1:sloid:7915:0:929494,1,20231213,46.637597010187875,8.592852825201083,0
ch:1:sloid:75207:0:431421,2,20230427,46.31408588291847,8.97421258052358,0
ch:1:sloid:8892:0:117499,02,20221211,47.09434380606009,7.595866589139102,0
ch:1:sloid:5251::116102,2,20210902,46.53774712346451,8.834257267466743,0
ch:1:sloid:7306:0:02,2,20210401,47.12434612820876,7.2369957411089985,0
ch:1:sloid:79634::2,2,20230511,47.03214301042743,6.927286906759544,0
ch:1:sloid:87986::51,51,20240223,47.298030088924115,8.796601446998956,0
ch:1:sloid:88025::50,50,20240223,47.27399074287625,8.660987634874152,0
ch:1:sloid:88024::50,50,20240223,47.27134735681211,8.65746439304809,0
ch:1:sloid:87985::50,50,20240223,47.3060184160035,8.790469716543603,0
ch:1:sloid:88739::50,50,20240223,47.4451004838845,8.576395980324188,0
ch:1:sloid:89358:1:2,2,20200703,47.56990359804401,7.60405470485185,0
ch:1:sloid:90520::50,50,20240223,47.41928105398237,8.393962009576859,0
ch:1:sloid:90476::50,50,20240223,47.318757241130605,8.53425581697783,0
